Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 38, 9, 38, 38, 38.854, 0.854, 15360, 0, 38.854, 40.061, 1.207, 775, 40.061, 40.906, 0.845, 23552, 0, 40.906, 41.912, 1.006, 1840, 41.912, 42.742, 0.829, 11264, 0, 42.742, 43.583, 0.842, 1650, 43.583, 44.425, 0.842, 7168, 0, 44.425, 45.408, 0.983, 1400, 45.408, 45.75, 0.342, 5120, 0,     7.750,
 39, 9, 39, 39, 40.072, 1.072, 16384, 0, 40.072, 41.063, 0.992, 801, 41.063, 42.099, 1.035, 24576, 0, 42.099, 43.077, 0.979, 1920, 43.077, 44.015, 0.938, 12288, 0, 44.015, 44.954, 0.939, 1800, 44.954, 45.834, 0.88, 8192, 0, 45.834, 46.789, 0.955, 1600, 46.789, 47.199, 0.41, 6144, 0,     8.199,
 40, 9, 40, 40, 40.859, 0.859, 13312, 0, 40.859, 41.866, 1.007, 692, 41.866, 42.827, 0.961, 20480, 0, 42.827, 43.854, 1.028, 1600, 43.854, 44.944, 1.089, 10240, 0, 44.944, 45.752, 0.808, 1500, 45.752, 46.538, 0.786, 6144, 0, 46.538, 47.63, 1.092, 1200, 47.63, 48.03, 0.4, 5120, 0,     8.030,
 41, 9, 41, 41, 42.077, 1.077, 16384, 0, 42.077, 43.177, 1.101, 839, 43.177, 44.086, 0.908, 25600, 0, 44.086, 45.065, 0.979, 2000, 45.065, 46.092, 1.028, 12288, 0, 46.092, 47.107, 1.015, 1800, 47.107, 47.987, 0.88, 8192, 0, 47.987, 49.034, 1.047, 1600, 49.034, 49.481, 0.447, 6144, 0,     8.481,
 42, 9, 42, 42, 42.736, 0.736, 11264, 0, 42.736, 43.962, 1.226, 593, 43.962, 44.724, 0.761, 17408, 0, 44.724, 45.786, 1.062, 1360, 45.786, 46.701, 0.915, 8192, 0, 46.701, 47.813, 1.112, 1200, 47.813, 48.553, 0.74, 5120, 0, 48.553, 49.697, 1.144, 1000, 49.697, 50.013, 0.316, 4096, 0,     8.013,
 43, 9, 43, 43, 43.871, 0.871, 15360, 0, 43.871, 45.106, 1.235, 781, 45.106, 46.15, 1.044, 23552, 0, 46.15, 47.095, 0.945, 1840, 47.095, 47.915, 0.821, 11264, 0, 47.915, 48.828, 0.912, 1650, 48.828, 49.672, 0.844, 7168, 0, 49.672, 50.546, 0.875, 1400, 50.546, 50.891, 0.344, 5120, 0,     7.891,
 44, 9, 44, 44, 44.985, 0.985, 16384, 0, 44.985, 46.104, 1.119, 815, 46.104, 47.102, 0.998, 24576, 0, 47.102, 48.028, 0.926, 1920, 48.028, 49.047, 1.019, 12288, 0, 49.047, 49.975, 0.927, 1800, 49.975, 50.788, 0.813, 8192, 0, 50.788, 51.754, 0.966, 1600, 51.754, 52.209, 0.455, 6144, 0,     8.209,
 45, 9, 45, 45, 45.611, 0.611, 11264, 0, 45.611, 46.755, 1.144, 567, 46.755, 47.708, 0.953, 17408, 0, 47.708, 48.81, 1.102, 1360, 48.81, 49.677, 0.867, 8192, 0, 49.677, 50.602, 0.925, 1200, 50.602, 51.312, 0.71, 5120, 0, 51.312, 52.335, 1.023, 1000, 52.335, 52.631, 0.296, 4096, 0,     7.631,
 46, 9, 46, 46, 46.836, 0.836, 13312, 0, 46.836, 47.708, 0.872, 698, 47.708, 48.461, 0.753, 20480, 0, 48.461, 49.633, 1.172, 1600, 49.633, 50.435, 0.802, 10240, 0, 50.435, 51.452, 1.017, 1500, 51.452, 52.045, 0.593, 6144, 0, 52.045, 53.021, 0.975, 1200, 53.021, 53.395, 0.374, 5120, 0,     7.395,
 47, 9, 47, 47, 47.729, 0.729, 12288, 0, 47.729, 48.513, 0.784, 619, 48.513, 49.199, 0.686, 18432, 0, 49.199, 50.369, 1.17, 1440, 50.369, 51.107, 0.738, 9216, 0, 51.107, 52.187, 1.079, 1350, 52.187, 52.86, 0.673, 6144, 0, 52.86, 53.719, 0.859, 1200, 53.719, 54.045, 0.327, 5120, 0,     7.045,
 48, 9, 48, 48, 49.014, 1.014, 16384, 0, 49.014, 49.994, 0.98, 826, 49.994, 50.89, 0.896, 24576, 0, 50.89, 52.009, 1.118, 1920, 52.009, 52.868, 0.859, 12288, 0, 52.868, 54.021, 1.153, 1800, 54.021, 54.857, 0.837, 8192, 0, 54.857, 55.921, 1.064, 1600, 55.921, 56.32, 0.4, 6144, 0,     8.320,
