Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 88, 389, 88, 88, 98.104, 10.104, 12288, 0, 98.104, 111.121, 13.017, 1266, 111.121, 111.935, 0.814, 12288, 0,    23.935,
 87, 389, 87, 87, 97.096, 10.096, 16384, 0, 97.096, 111.633, 14.537, 1634, 111.633, 112.957, 1.323, 16384, 0,    25.957,
 104, 389, 104, 104, 114.599, 10.599, 16384, 0, 114.599, 114.599, 0, 1694,TimeOut
 89, 389, 89, 89, 99.468, 10.468, 15360, 0, 99.468, 115.195, 15.727, 1542, 115.195, 116.572, 1.377, 15360, 0,    27.572,
 92, 389, 92, 92, 102.427, 10.427, 13312, 0, 102.427, 115.477, 13.05, 1367, 115.477, 117.537, 2.06, 13312, 0,    25.537,
 94, 389, 94, 94, 104.561, 10.561, 13312, 0, 104.561, 117.586, 13.025, 1330, 117.586, 118.695, 1.109, 13312, 0,    24.695,
 93, 389, 93, 93, 103.612, 10.612, 17408, 0, 103.612, 117.923, 14.311, 1773, 117.923, 119.883, 1.961, 17408, 0,    26.883,
 95, 389, 95, 95, 105.577, 10.577, 14336, 0, 105.577, 119.671, 14.095, 1459, 119.671, 120.856, 1.184, 14336, 0,    25.856,
 98, 389, 98, 98, 108.217, 10.217, 12288, 0, 108.217, 119.743, 11.527, 1229, 119.743, 121.847, 2.104, 12288, 0,    23.847,
 99, 389, 99, 99, 109.134, 10.134, 12288, 0, 109.134, 121.627, 12.494, 1294, 121.627, 122.693, 1.066, 12288, 0,    23.693,
 100, 389, 100, 100, 110.285, 10.285, 16384, 0, 110.285, 122.31, 12.024, 1689, 122.31, 123.804, 1.495, 16384, 0,    23.804,
 101, 389, 101, 101, 111.488, 10.488, 12288, 0, 111.488, 123.72, 12.232, 1252, 123.72, 124.525, 0.805, 12288, 0,    23.525,
 102, 389, 102, 102, 112.456, 10.456, 13312, 0, 112.456, 124.481, 12.024, 1354, 124.481, 125.326, 0.845, 13312, 0,    23.326,
 115, 389, 115, 115, 125.774, 10.774, 13312, 0, 125.774, 125.774, 0, 1380,TimeOut
 103, 389, 103, 103, 113.457, 10.457, 15360, 0, 113.457, 125.977, 12.52, 1532, 125.977, 127.108, 1.131, 15360, 0,    24.108,
 105, 389, 105, 105, 115.575, 10.575, 13312, 0, 115.575, 126.414, 10.839, 1338, 126.414, 128.171, 1.756, 13312, 0,    23.171,
 118, 389, 118, 118, 129.039, 11.039, 16384, 0, 129.039, 129.039, 0, 1674,TimeOut
 106, 389, 106, 106, 116.515, 10.515, 12288, 0, 116.515, 127.52, 11.005, 1274, 127.52, 129.079, 1.559, 12288, 0,    23.079,
 107, 389, 107, 107, 117.688, 10.688, 15360, 0, 117.688, 130.639, 12.951, 1523, 130.639, 131.68, 1.041, 15360, 0,    24.680,
 108, 389, 108, 108, 118.712, 10.712, 12288, 0, 118.712, 131.64, 12.929, 1236, 131.64, 132.654, 1.014, 12288, 0,    24.654,
 122, 389, 122, 122, 132.938, 10.938, 12288, 0, 132.938, 132.938, 0, 1270,TimeOut
 109, 389, 109, 109, 120.154, 11.154, 17408, 0, 120.154, 133.101, 12.947, 1702, 133.101, 134.16, 1.059, 17408, 0,    25.160,
 110, 389, 110, 110, 121.042, 11.042, 13312, 0, 121.042, 133.594, 12.552, 1378, 133.594, 135.228, 1.634, 13312, 0,    25.228,
 112, 389, 112, 112, 123.07, 11.07, 12288, 0, 123.07, 135.407, 12.336, 1242, 135.407, 136.378, 0.971, 12288, 0,    24.378,
 111, 389, 111, 111, 122.29, 11.29, 17408, 0, 122.29, 135.647, 13.357, 1731, 135.647, 137.808, 2.161, 17408, 0,    26.808,
 113, 389, 113, 113, 124.059, 11.059, 13312, 0, 124.059, 137.293, 13.235, 1312, 137.293, 138.956, 1.663, 13312, 0,    25.956,
 114, 389, 114, 114, 124.872, 10.872, 12288, 0, 124.872, 137.493, 12.621, 1278, 137.493, 139.883, 2.39, 12288, 0,    25.883,
 128, 389, 128, 128, 140.046, 12.046, 17408, 0, 140.046, 140.046, 0, 1718,TimeOut
 116, 389, 116, 116, 126.868, 10.868, 15360, 0, 126.868, 140.058, 13.19, 1500, 140.058, 141.003, 0.944, 15360, 0,    25.003,
 117, 389, 117, 117, 127.913, 10.913, 15360, 0, 127.913, 140.25, 12.337, 1507, 140.25, 141.993, 1.743, 15360, 0,    24.993,
 119, 389, 119, 119, 130.001, 11.001, 14336, 0, 130.001, 142.364, 12.363, 1444, 142.364, 143.257, 0.892, 14336, 0,    24.257,
