Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 39, 9, 39, 39, 43.684, 4.684, 16384, 0, 43.684, 47.238, 3.554, 801, 47.238, 48.963, 1.725, 24576, 0, 48.963, 50.542, 1.579, 1920, 50.542, 51.876, 1.334, 12288, 0, 51.876, 53.143, 1.268, 1800, 53.143, 54.745, 1.602, 8192, 0, 54.745, 56.213, 1.468, 1600, 56.213, 56.789, 0.576, 6144, 0,    17.789,
 40, 9, 40, 40, 44.564, 4.564, 13312, 0, 44.564, 48.256, 3.692, 692, 48.256, 50.134, 1.878, 20480, 0, 50.134, 51.607, 1.473, 1600, 51.607, 52.824, 1.217, 10240, 0, 52.824, 54.152, 1.328, 1500, 54.152, 55.782, 1.63, 6144, 0, 55.782, 57.07, 1.288, 1200, 57.07, 57.604, 0.534, 5120, 0,    17.604,
 41, 9, 41, 41, 45.642, 4.642, 16384, 0, 45.642, 50.047, 4.405, 839, 50.047, 51.265, 1.219, 25600, 0, 51.265, 53.395, 2.13, 2000, 53.395, 54.689, 1.293, 12288, 0, 54.689, 56.144, 1.456, 1800, 56.144, 57.099, 0.955, 8192, 0, 57.099, 58.275, 1.175, 1600, 58.275, 58.767, 0.492, 6144, 0,    17.767,
 42, 9, 42, 42, 46.561, 4.561, 11264, 0, 46.561, 51.029, 4.468, 593, 51.029, 52.074, 1.045, 17408, 0, 52.074, 54.357, 2.283, 1360, 54.357, 55.495, 1.139, 8192, 0, 55.495, 56.972, 1.477, 1200, 56.972, 57.826, 0.854, 5120, 0, 57.826, 59.108, 1.282, 1000, 59.108, 59.462, 0.354, 4096, 0,    17.462,
 43, 9, 43, 43, 48.096, 5.096, 15360, 0, 48.096, 52.146, 4.05, 781, 52.146, 53.619, 1.474, 23552, 0, 53.619, 55.587, 1.967, 1840, 55.587, 56.643, 1.056, 11264, 0, 56.643, 58.098, 1.455, 1650, 58.098, 58.962, 0.863, 7168, 0, 58.962, 60.26, 1.298, 1400, 60.26, 60.867, 0.607, 5120, 0,    17.867,
 44, 9, 44, 44, 49.421, 5.421, 16384, 0, 49.421, 53.32, 3.899, 815, 53.32, 54.791, 1.472, 24576, 0, 54.791, 56.788, 1.997, 1920, 56.788, 58.171, 1.383, 12288, 0, 58.171, 59.478, 1.308, 1800, 59.478, 60.578, 1.1, 8192, 0, 60.578, 61.785, 1.206, 1600, 61.785, 62.282, 0.498, 6144, 0,    18.282,
 45, 9, 45, 45, 50.345, 5.345, 11264, 0, 50.345, 54.112, 3.767, 567, 54.112, 55.56, 1.448, 17408, 0, 55.56, 57.764, 2.204, 1360, 57.764, 58.971, 1.206, 8192, 0, 58.971, 60.302, 1.332, 1200, 60.302, 61.306, 1.004, 5120, 0, 61.306, 62.497, 1.191, 1000, 62.497, 62.894, 0.397, 4096, 0,    17.894,
 46, 9, 46, 46, 51.475, 5.475, 13312, 0, 51.475, 55.244, 3.768, 698, 55.244, 56.495, 1.251, 20480, 0, 56.495, 58.949, 2.454, 1600, 58.949, 59.971, 1.022, 10240, 0, 59.971, 61.331, 1.36, 1500, 61.331, 62.052, 0.721, 6144, 0, 62.052, 63.324, 1.272, 1200, 63.324, 63.72, 0.397, 5120, 0,    17.720,
 47, 9, 47, 47, 52.334, 5.334, 12288, 0, 52.334, 56.404, 4.07, 619, 56.404, 57.426, 1.022, 18432, 0, 57.426, 59.98, 2.554, 1440, 59.98, 60.85, 0.871, 9216, 0, 60.85, 62.398, 1.547, 1350, 62.398, 63.271, 0.873, 6144, 0, 63.271, 64.284, 1.013, 1200, 64.284, 64.79, 0.506, 5120, 0,    17.790,
 48, 9, 48, 48, 53.558, 5.558, 16384, 0, 53.558, 57.676, 4.118, 826, 57.676, 58.785, 1.109, 24576, 0, 58.785, 61.284, 2.499, 1920, 61.284, 62.759, 1.475, 12288, 0, 62.759, 64.365, 1.606, 1800, 64.365, 65.435, 1.07, 8192, 0, 65.435, 66.692, 1.256, 1600, 66.692, 67.21, 0.518, 6144, 0,    19.210,
 49, 9, 49, 49, 54.663, 5.663, 12288, 0, 54.663, 58.879, 4.216, 616, 58.879, 59.673, 0.794, 18432, 0, 59.673, 62.174, 2.5, 1440, 62.174, 63.618, 1.444, 9216, 0, 63.618, 65.44, 1.822, 1350, 65.44, 66.292, 0.852, 6144, 0, 66.292, 67.941, 1.649, 1200, 67.941, 68.453, 0.512, 5120, 0,    19.453,
 50, 9, 50, 50, 55.616, 5.616, 11264, 0, 55.616, 59.934, 4.319, 580, 59.934, 60.759, 0.824, 17408, 0, 60.759, 63, 2.241, 1360, 63, 64.417, 1.417, 8192, 0, 64.417, 66.338, 1.921, 1200, 66.338, 66.937, 0.6, 5120, 0, 66.937, 68.675, 1.737, 1000, 68.675, 69.1, 0.425, 4096, 0,    19.100,
 51, 9, 51, 51, 56.954, 5.954, 13312, 0, 56.954, 60.984, 4.03, 698, 60.984, 62.039, 1.054, 20480, 0, 62.039, 64.263, 2.225, 1600, 64.263, 65.346, 1.082, 10240, 0, 65.346, 67.372, 2.026, 1500, 67.372, 68.086, 0.714, 6144, 0, 68.086, 69.567, 1.481, 1200, 69.567, 70.085, 0.518, 5120, 0,    19.085,
